start,end,chr,gene
648,1601,MT,4549
1671,3229,MT,4550
3307,4262,MT,4535
4470,5511,MT,4536
5904,7445,MT,4512
7586,8269,MT,4513
8366,8572,MT,4509
8527,9207,MT,4508
9207,9990,MT,4514
10059,10404,MT,4537
10470,10766,MT,4539
10760,12137,MT,4538
12337,14148,MT,4540
14149,14673,MT,4541
14747,15887,MT,4519
25458997,25507920,8,157313
78426103,78558503,8,101927003
126109762,126115562,X,101928495
73440398,73522278,7,9031
16174649,16231992,3,117248
119416306,119424353,8,4856
47963569,47968878,12,79022
27184518,27189293,7,221883
37601440,37602974,10,100288485
2458935,2462185,19,101928602
112596794,112649530,3,151887
33771202,33789136,6,221496
93467488,93516213,12,28977
121631399,121660927,3,3059
32821833,32838780,6,6891
62615296,62622175,11,26229
18782773,18791314,19,1311
78437431,78501456,15,3658
7380534,7389774,17,8711
1292376,1309609,1,116983
90119400,90125600,7,442523
41435298,41440419,8,105379391
70147289,70170523,10,56681
67518418,67546788,16,79567
57434760,57450828,12,3626
126163499,126166097,X,340578
6924463,6942321,12,1822
90167590,90238137,7,261729
106969831,106975627,6,100133941
123671113,123708403,12,79867
42767089,42792593,2,23498
144421386,144461674,1,284565
166049,167043,8,441308
10030677,10066027,12,283420
78516139,78605267,8,5569
22725884,22732002,7,3569
27181510,27185223,7,3207
32109506,32167258,20,9777
42879644,42913304,21,4731
41960950,42237870,7,2737
18239223,18248643,11,6289
42562736,42608013,13,8600
37776526,37858106,10,57209
72087266,72670757,12,29953
31784779,31818062,11,5080
21628089,21630064,22,150223
68646630,68670628,4,7366
21408243,21440451,15,102723502
21408243,21440451,15,102724631
26044597,26051031,13,387914
19167971,19268334,16,51760
43295694,43305538,6,10864
35609533,35646810,9,971
14987680,15002408,CHR_HSCHR16_1_CTG1,100505915
232137,264703,8,169270
17334920,17342735,19,84705
48564073,48595267,3,1294
49773283,49827512,22,23774
19975431,19980416,1,5320
101324205,101513241,3,57337
38696802,38794010,3,6336
53507856,53626410,12,11016
6942978,6946003,12,113246
22725395,22727620,7,541472
21298206,21309449,8,101929172
48529925,48776517,2,286749
119476448,119487346,2,107105282
22071756,22096007,Y,442862
27193503,27200106,7,3209
44455486,44462196,21,81543
119439843,119525301,2,6344
27715949,27722711,3,8320
17018722,17054170,1,6390
68810840,68834168,CHR_HSCHR4_1_CTG9,79799
2528745,2530245,CHR_HSCHR1_1_CTG3,388585
2476122,2478259,19,4616
18683169,18738057,12,89869
21690403,21812357,8,2675
7402975,7404137,17,254863
4538798,4560048,12,10635
19230435,19373545,9,55667
11185993,11186937,12,353164
85064108,85067347,2,100996478
21632716,21637327,22,164592
5879827,5886362,7,654231
71938846,72186618,12,121278
140257286,140385726,4,60592
126549383,126552851,X,139170
7389727,7394843,17,57048
18231423,18248635,11,100528017
54216894,54243483,CHR_HSCHR19LRC_PGF2_CTG3_1,79168
29790954,29797811,6,352962
42781550,42791549,13,144809
21642261,21644298,22,23753
56232421,56287889,X,11279
35605305,35610041,9,7016
18231349,18236893,11,6291
39315707,39323218,21,100874093
8609445,8639381,18,201475
148987527,148989432,7,102723099
33303657,33310659,15,101928134
32291813,32314784,21,56246
42810366,42812562,13,103689845
7970251,8001862,11,8665
89882353,90211635,7,100874100
30638600,30646064,8,100507341
39184176,39321559,21,54014
90154375,90164829,7,26872
19113932,19121629,16,162073
31764879,31783312,CHR_HSCHR6_MHC_COX_CTG1,7407
36696690,36814792,2,5212
43307134,43369478,6,24149
126819764,126821786,X,100130613
27241429,27247229,7,101410536
32812763,32817048,6,3112
30578318,30658251,8,2961
27242700,27250493,7,2128
1311585,1324691,1,54973
207239650,207245887,2,105373853
21814429,21818511,CHR_HSCHR19_2_CTG2,7594
149003062,149028641,7,9601
62643982,62935037,12,57460
207580631,207625928,2,151194
22144966,22146831,Y,441543
22100814,22147484,Y,102725532
1012821,1043528,CHR_HSCHR11_2_CTG1,4588
101236888,101241518,1,1901
1113263,1189415,20,9491
32311018,32393026,21,9875
57358442,57359980,20,100462983
27247701,27256624,6,10279
57351010,57379211,20,8480
11265924,11269805,12,5544
319669,327537,11,10410
2691179,2741309,X,4267
181673088,181680876,2,4760
153871913,154453849,2,114805
2328749,2377992,11,101927682
119538149,119565408,X,63932
29555178,29632716,CHR_HSCHR6_MHC_MANN_CTG1,2550
140283724,140373381,4,100129858
2376177,2397419,11,975
48617798,48733148,2,11036
181457202,181536187,2,3676
21666009,21700015,22,23759
11307083,11310435,12,5545
160677159,160678452,3,80117
99004276,99148852,1,100129620
98890245,99005032,1,163404
31527864,31528803,16,51327
43299710,43308797,6,401262
128241284,128257628,7,3952
32031300,32299122,13,10129
17066761,17119435,1,11240
103587273,103766727,12,55576
238244038,238290102,2,8864
130342225,130347810,2,92856
53506690,53507638,12,8620
189669074,189670954,CHR_HSCHR4_7_CTG12,101928971
53513984,53517608,12,100652999
189892101,189895454,CHR_HSCHR4_7_CTG12,105377617
11399381,11486678,12,440084
1889114,1890434,16,105371048
150600851,150629612,1,2029
1203454,1208274,20,400831
1911463,1918440,16,64711
85133410,85310388,2,83439
36301638,36370180,13,23111
11351823,11395566,12,5542
1180561,1185415,20,55321
68815993,68831196,4,7365
1117847,1118450,20,105372493
96985719,96994730,13,27199
70045915,70063796,CHR_HSCHR5_1_CTG1_1,8293
70045915,70063796,CHR_HSCHR5_1_CTG1_1,728492
152618632,152680165,4,201799
207529737,207603431,2,1385
26863138,26864457,1,2810
38431294,38433573,2,100996902
64230278,64234286,11,3338
113584721,113641470,13,7027
16317444,16350590,16,100288332
34351514,34355586,CHR_HSCHR19_2_CTG3_1,9710
11391540,11501041,12,653247
238238267,238240662,2,55502
45512461,45515624,20,10816
26876133,26890297,1,54707
26132115,26222493,13,6049
21148370,21159060,14,390445
101323337,101390303,1,104355286
144592868,144593527,1,728945
85186409,85187253,2,100874334
56563639,56567868,X,29978
36460621,36576569,21,23562
31996944,32011233,CHR_HSCHR6_MHC_DBB_CTG1,721
2511219,2702709,19,2788
13655179,13977075,4,101929071
48686775,48755730,2,3973
