start,end,chr,gene
115526363,115526793,12,634749
116026583,116027016,12,100505002
116305787,116306207,12,636067
46893176,46900542,17,19208
54285604,54286180,14,100568452
54295816,54296304,14,100045939
34993518,34999057,17,14962
71344242,71368861,7,17364
5328,6872,MT,17708
13552,14070,MT,17722
10167,11544,MT,17719
9877,10173,MT,17720
14145,15288,MT,17711
11742,13565,MT,17721
8607,9390,MT,17710
7927,8607,MT,17705
7766,7969,MT,17706
9459,9806,MT,17718
7013,7696,MT,17709
3914,4951,MT,17717
2751,3707,MT,17716
3592398,3593339,16,258859
3707215,3718124,16,54483
3744093,3750790,16,74120
3838975,3839913,16,18312
3847268,3858880,16,385674
3858321,3884561,16,71063
3872375,3904770,16,74763
3895179,3908689,16,73261
3908801,3941147,16,76779
3946933,3976632,16,268857
3979105,4003770,16,52864
4036942,4040024,16,13419
4039971,4078410,16,68015
4084048,4213404,16,12914
4287529,4420498,16,11515
4480216,4541816,16,106393
4544661,4559720,16,83383
4594713,4624924,16,83396
4616464,4624988,16,66449
4626133,4679777,16,78885
4639941,4650802,16,246154
4639989,4707695,16,83945
4710059,4719356,16,67824
4726361,4766742,16,15369
4750348,4790292,16,66626
4835416,4867691,16,78809
4858254,4867621,16,78809
4874778,4880315,16,207740
4886252,4938296,16,17237
4939111,4941025,16,66911
4941420,4964330,16,72615
4987417,4997882,16,71089
5008823,5013620,16,66049
5013999,5050003,16,74022
5050161,5086378,16,170644
5086384,5132574,16,19041
5147202,5184027,16,665119
5195382,5204105,16,27426
5211921,5222392,16,239691
5233714,5245005,16,208211
5244245,5256076,16,70511
6809315,7412572,16,268859
8409369,8425229,16,74720
8470881,8490777,16,239706
8513522,8621661,16,268860
8633977,8637805,16,66690
8637767,8657624,16,54128
8658680,8672246,16,52502
8688815,8792401,16,252870
8830193,8859009,16,69053
8922150,8922482,16,100039478
9577803,9995014,16,14811
10170319,10175004,16,68172
10192805,10243144,16,75329
10281842,10314061,16,13731
10358041,10395583,16,70426
10412041,10424521,16,26425
10420650,10447455,16,383103
10480237,10527657,16,12265
10530300,10543147,16,58239
10545457,10744971,16,74374
10783901,10785629,16,12703
10788029,10788748,16,21959
10790600,10791006,16,19120
10791476,10792198,16,19119
10796419,10796979,16,19118
10835152,10886327,16,223970
10959368,11066250,16,56722
11066391,11075076,16,20621
11075004,11134743,16,106200
11136685,11176486,16,106205
11193063,11203424,16,66409
11216336,11254418,16,14852
11313905,11320167,16,21935
11405741,11755565,16,74478
6589,7110,NT_166445,333467
26087,26791,NT_166403,100041683
26087,26791,NT_166403,100861997
239240,241571,NT_166403,100041714
239240,241571,NT_166403,100862336
676873,677862,NT_166403,70009
676873,677862,NT_166403,434960
676873,677862,NT_166403,100039209
676873,677862,NT_166403,100039294
676873,677862,NT_166403,100039444
676873,677862,NT_166403,100039523
676873,677862,NT_166403,100039574
676873,677862,NT_166403,100040418
676873,677862,NT_166403,100040429
676873,677862,NT_166403,100040991
676873,677862,NT_166403,100041080
676873,677862,NT_166403,100041682
676873,677862,NT_166403,100041789
676873,677862,NT_166403,100041913
676873,677862,NT_166403,100041922
676873,677862,NT_166403,100042080
676873,677862,NT_166403,100042268
676873,677862,NT_166403,100042321
676873,677862,NT_166403,100042475
676873,677862,NT_166403,100861662
676873,677862,NT_166403,100861667
676873,677862,NT_166403,100861677
676873,677862,NT_166403,100861821
676873,677862,NT_166403,100861825
676873,677862,NT_166403,100862009
676873,677862,NT_166403,100862092
676873,677862,NT_166403,100862135
676873,677862,NT_166403,100862283
676873,677862,NT_166403,100862320
676873,677862,NT_166403,100862342
676873,677862,NT_166403,100862371
751700,752404,NT_166403,100041813
