start,end,chr,gene
66119285,66465398,HG991_PATCH,115286
23791571,23791673,13,100873766
23993110,24002818,13,100506680
24040710,24061603,13,100506697
94806447,94840245,13,100873972
95364970,95368500,13,100507533
96131698,96186164,13,100874194
24553949,24609166,13,221178
96300987,96329179,13,100289274
24736555,24736643,13,100313842
24826887,24828577,13,100874231
97593535,97636426,13,100887754
98860778,98860854,13,100422881
99484338,99486883,13,100874096
75610476,75660403,HG706_PATCH,685
99677488,99677599,13,100873782
26091257,26091363,13,100873778
99740073,99740879,13,100861541
39868578,39872221,HG185_PATCH,2520
99848631,99852964,13,100289373
100008385,100008482,13,693208
100295313,100295403,13,100422861
100342335,100343225,13,100874063
100378501,100379745,13,101927465
27746396,27757135,13,100874071
27829201,27829272,13,26771
100647153,100650163,13,100861542
27829538,27829663,13,619499
28062275,28062369,13,100873768
39873994,39890896,HG185_PATCH,9001
101116694,101133411,13,100885777
28407581,28495541,13,100861550
28710980,28712330,13,100288730
28806638,28806744,13,100873781
101360579,101711638,13,100885778
29277839,29277944,13,100873762
102619992,102620096,13,100616110
30050652,30064242,13,100874107
102698284,102698354,13,100616239
30446750,30462542,13,100874059
102944677,103046869,13,283480
30492784,30500788,13,100861573
103019889,103026016,13,100874081
30510042,30524625,13,440131
103046980,103048053,13,283481
30726023,30733758,13,101928980
30855902,30856006,13,100873769
103532449,103548383,13,121952
30890497,30894040,13,100507040
104077550,104080035,13,101930454
106111404,106158030,13,282706
30914407,30951282,13,100188949
106356629,106416789,13,144920
39910856,39943183,HG185_PATCH,3728
107028911,107030565,13,728192
107270158,107283707,13,283483
107306264,107324511,13,100874173
31377343,31384782,13,100874158
31456070,31507983,13,100507064
108183519,108183596,13,100302286
108440690,108487799,13,100874375
31456688,31457532,13,440132
109816250,109853831,13,100885782
39958199,39968855,HG185_PATCH,10609
20058408,20058482,21,100422920
110380629,110382354,13,101409253
111108743,111115634,13,100129836
32599451,32605776,13,100507099
111154922,111160526,13,100874203
111748185,111755444,13,101927802
33451569,33485788,13,100874167
39968962,39979465,HG185_PATCH,60681
112554299,112555490,13,101928616
22114908,22175534,21,387486
112761433,112762329,13,100505996
112851664,112855314,13,101928698
112967781,112976072,13,101928752
113399763,113409007,13,100874205
23095613,23109639,21,378828
33845516,33855471,13,100874241
23119293,23169735,21,101927821
114005988,114016183,13,101930262
114005988,114016183,13,101930007
23381263,23470778,21,101927843
114451484,114454062,13,100130386
114567141,114569806,13,100506394
23470936,23488847,21,54143
39981433,39992515,HG185_PATCH,115024
21901650,21901699,18,100302195
114581673,114586624,13,100874178
114586640,114626485,13,643365
20737094,20747114,15,727832
35009587,35214822,13,100874179
114629487,114631817,13,100861555
115009980,115010036,13,100847035
115039303,115039383,13,100616227
36271661,36273393,13,100507114
36841305,36841411,13,100873774
39991937,40004636,HG185_PATCH,317719
